Book name,Author,Publisher,Discounted price,Price without any discount,"Discount, %",Stock availability
C#. Программирование 2D и 3D векторной графики (+CD). СПО,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,2319,2973,22,На складе
Алгоритмизация и программирование. Практикум. СПО,Андрианова Анастасия Александровна,Лань:Компьютеры и программное обеспечение,1647,2111,22,На складе
Организация беспроводных Ad Hoc и Hot Spot сетей в среде ОС Windows,"Заяц Анатолий Моисеевич, Хабаров Сергей Петрович",Лань:Компьютеры и программное обеспечение,1660,2128,22,На складе
Построение распределенных систем на базе WebSocket. Учебное пособие,"Хабаров Сергей Петрович, Шилкина Мария Львовна",Лань:Компьютеры и программное обеспечение,1562,2003,22,Ограничено
Практическое введение в язык программирования Си. СПО,"Солдатенко Илья Сергеевич, Попов Иван Владимирович",Лань:Компьютеры и программное обеспечение,1059,1358,22,На складе
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку. СПО,"Заяц Анатолий Моисеевич, Васильев Николай Павлович",Лань:Компьютеры и программное обеспечение,1206,1546,22,Ограничено
Введение в язык Си++,Столяров Андрей Викторович,ДМК-Пресс,1608,2061,22,На складе
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,1165,1494,22,На складе
Простой Python для опытных программистов,Гаско Рик,Солон-пресс:Программирование,1006,1290,22,На складе
Профессиональная разработка на Python,Уилкс Мэттью,ДМК-Пресс,3421,4386,22,На складе
Программируй & типизируй,Ришкуция Влад,Питер:Библиотека программиста,1773,2273,22,На складе
Основы Python. Научитесь мыслить как программист,Дауни Аллен Б.,"Манн, Иванов и Фербер",1046,1341,22,На складе
SimInTech. Преобразователи автономных источников электроэнергии,"Калачёв Ю. Н., Александров А. Г.",ДМК-Пресс,611,783,22,На складе
JavaScript. Готовые программы. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1395,1789,22,Ограничено
JavaScript. Готовые программы. СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1437,1842,22,На складе
TypeScript быстро,"Файн Яков, Моисеев Антон",Питер:Для профессионалов,1974,2531,22,На складе
C# 8 и .NET Core. Разработка и оптимизация,Прайс Марк Дж.,Питер:Для профессионалов,3162,4054,22,На складе
Разработка базы данных в Access. Учебное пособие,Волик Мария Владимировна,Прометей,322,537,40,На складе
Основы программирования на языке С. Учебное пособие,"Гагарина Лариса Геннадьевна, Дорогова Екатерина Георгиевна",ИНФРА-М:Высшее образование. Бакалавриат,2002,2567,22,На складе
Java. Быстрый старт,Чан Джейми,Питер:Библиотека программиста,807,1035,22,На складе
Python. Быстрый старт,Чан Джейми,Питер:Библиотека программиста,808,1036,22,На складе
CSS для профи,Грант Кит,Питер:Библиотека программиста,1597,2048,22,На складе
Kubernetes. Лучшие практики. Построение эффективных приложений,Бернс Брендан и др.,Питер:Для профессионалов,1398,1792,22,На складе
C++ для профи,Лоспинозо Джош,Питер:Для профессионалов,2581,3309,22,На складе
Интеллектуальные информационные системы и методы искусственного интеллекта,"Андрейчиков Александр Валентинович, Андрейчикова Ольга Николаевна",ИНФРА-М:Высшее образование. Магистратура,3963,5081,22,На складе
Современный скрапинг веб-сайтов с помощью Python,Митчелл Райан,Питер:Бестселлеры O`Reilly,1765,2263,22,На складе
Инструментальные средства разработки программного обеспечения Системы Fossil,Орещенков Игорь Сергеевич,Лань:Компьютеры и программное обеспечение,2016,2585,22,На складе
"Эффективный Java. Тюнинг кода на Java 8, 11 и дальше",Оукс Скотт,Питер:Бестселлеры O`Reilly,2567,3291,22,На складе
Веб-разработка с применением Node и Express. Полноценное использование стека JavaScript,Браун Итан,Питер:Бестселлеры O`Reilly,1630,2090,22,На складе
gRPC. Запуск и эксплуатация облачных приложений. Go и Java для Docker и Kubernetes,"Индрасири Касун, Курупу Данеш",Питер:Бестселлеры O`Reilly,1357,1740,22,На складе
Python. Сборник упражнений,Стивенсон Бен,ДМК-Пресс,1207,1547,22,На складе
Совершенный алгоритм. Алгоритмы для NP-трудных задач,Рафгарден Тим,Питер:Библиотека программиста,1494,1915,22,На складе
"Стильный Java. Код, который работает всегда и везде",Фаэлла Марко,Питер:Библиотека программиста,1923,2465,22,На складе
Внедрение зависимостей на платформе .NET,"Симан Марк, Дерсен Стивен Ван",Питер:Для профессионалов,2567,3291,22,На складе
От монолита к микросервисам,Ньюмен Сэм,BHV,950,1218,22,На складе
Электроника. Занимательная электроника,Ревич Юрий Всеволодович,BHV:Электроника,1018,1305,22,На складе
Карьера программиста,Лакман Макдауэлл Гейл,Питер:Библиотека программиста,1604,2057,22,На складе
Глубокое обучение. Легкая разработка проектов на Python,Вейдман Сет,Питер:Бестселлеры O`Reilly,2295,2942,22,На складе
Паттерны проектирования для C# и платформы .NET Core,"Арораа Гаурав, Чилберто Джеффри",Питер:Для профессионалов,2649,3396,22,На складе
Структуры и алгоритмы обработки данных. Учебник для СПО,"Павлов Леонид Александрович, Первова Наталия Викторовна",Лань:Компьютеры и программное обеспечение,1172,1503,22,Ограничено
Численные методы и программирование. Учебное пособие для СПО,Слабнов Виктор Дмитриевич,Лань:Компьютеры и программное обеспечение,3593,4607,22,На складе
Web-программирование на JavaScript. Учебное пособие для СПО,Диков Андрей Валентинович,Лань:Компьютеры и программное обеспечение,1164,1492,22,Ограничено
Технология разработки программного обеспечения. Учебное пособие для СПО,Зубкова Татьяна Михайловна,Лань:Компьютеры и программное обеспечение,2058,2638,22,На складе
"“Непрактичный” Python. Занимательные проекты для тех, кто хочет поумнеть",Воган Ли,BHV,1086,1392,22,На складе
Разработка приложений на Swift 5.1 и SwiftUI с нуля,Казанский Александр Анатольевич,BHV:С нуля,950,1218,22,На складе
WordPress с нуля,Молочков Владимир Петрович,BHV:С нуля,620,795,22,На складе
Изучаем C++ через программирование игр,Доусон Майкл,Питер,868,1113,22,На складе
Совершенный софт. Совершенный софт - совершенная карьера,Леве Джувел,Питер:Для профессионалов,1753,2247,22,На складе
